voted_for_flowers,voted_for_ivey,votecount,voted_eur,voted_aa,voted_oth,pct_flowers,pct_ivey,pct_eth_eur,pct_eth_aa,pct_eth_oth
3515,13387,16902,13547,2865,490,0.20796355460892202,0.792036445391078,0.8015027807360076,0.16950656727014554,0.028990651993846882
10296,58823,69119,62056,3215,3848,0.14896048843299237,0.8510395115670076,0.897813915131874,0.046513983130542974,0.05567210173758301
2549,3888,6437,3759,2433,245,0.3959919217026565,0.6040080782973435,0.583967686810626,0.3779711045518098,0.038061208637564084
930,4681,5611,4765,786,60,0.16574585635359115,0.8342541436464088,0.8492247371235074,0.1400819818214222,0.010693281055070397
930,14895,15825,15252,180,393,0.058767772511848344,0.9412322274881516,0.9637914691943128,0.011374407582938388,0.024834123222748816
1806,802,2608,751,1833,24,0.6924846625766872,0.3075153374233129,0.2879601226993865,0.7028374233128835,0.009202453987730062
1937,3856,5793,3719,1941,133,0.33436906611427586,0.6656309338857241,0.6419817020542034,0.3350595546349042,0.022958743310892458
6912,22158,29070,23174,4848,1048,0.23777089783281732,0.7622291021671826,0.7971792225662194,0.16676986584107328,0.036050911592707256
2890,5961,8851,6087,2697,67,0.32651677776522425,0.6734832222347757,0.6877189018190035,0.30471133205287537,0.0075697661281211165
653,6971,7624,7107,231,286,0.08565057712486883,0.9143494228751312,0.9321878279118573,0.030299055613850996,0.03751311647429171
1268,10541,11809,10602,900,307,0.1073757303751376,0.8926242696248624,0.89778982132272,0.07621305783724278,0.02599712084003726
1841,3300,5141,2929,1779,433,0.3581015366660183,0.6418984633339817,0.5697335148803735,0.3460416261427738,0.08422485897685275
3556,5359,8915,5158,3573,184,0.39887829500841276,0.6011217049915872,0.5785754346606843,0.40078519349411107,0.020639371845204712
480,3638,4118,3600,374,144,0.11656143759106362,0.8834385624089364,0.8742107819329772,0.09082078678970373,0.034968431277319086
276,4200,4476,4187,99,190,0.06166219839142091,0.938337801608579,0.9354334226988383,0.02211796246648794,0.042448614834673826
2221,11267,13488,11003,1635,850,0.16466488730723605,0.835335112692764,0.8157621589561092,0.12121886120996442,0.06301897983392646
3739,13001,16740,13803,2315,622,0.22335722819593787,0.7766427718040622,0.8245519713261649,0.1382915173237754,0.037156511350059734
1782,2618,4400,2417,1791,192,0.405,0.595,0.5493181818181818,0.40704545454545454,0.04363636363636364
1001,2685,3686,2633,946,107,0.27156809549647315,0.7284319045035269,0.7143244709712426,0.25664677156809557,0.02902875746066197
1193,9735,10928,9597,829,502,0.10916910688140556,0.8908308931185944,0.8782027818448024,0.0758601756954612,0.045937042459736455
851,3622,4473,3530,812,131,0.19025262687234518,0.8097473731276548,0.7891795215738876,0.1815336463223787,0.029286832103733507
1662,23277,24939,24062,175,702,0.06664260796343077,0.9333573920365692,0.964834195436866,0.0070171217771362124,0.028148682785997834
