OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Rochester Percentage,Murphy Percentage
92,6,158,06-15,726791.00040324,4171.0883700718605,165,121,4,26,66.67,33.33
93,6,0,06-16,6203744.77437019,11660.3573318259,0,0,0,0,0,0
94,7,1680,07-01,1387108.93712769,5822.0491484232,1289,960,76,137,58.58,40.18
95,7,2003,07-02,1469736.58592566,5091.15793862962,1438,780,361,124,71.89,26.31
96,7,955,07-03,1661587.06201604,5570.420331542391,833,642,4,125,63.33,36.03
97,7,2103,07-04,1266973.72639645,4980.02229714478,1275,568,350,96,76.42,21.7
98,7,1699,07-05,3533515.38374898,9220.49920308661,1542,1210,21,201,77.07,20.69
99,7,1030,07-06,1015565.65844306,5707.08244831886,770,583,44,73,63.07,35.02
100,7,2034,07-07,1969018.89009938,6187.12508373056,1642,919,406,139,68.01,29.99
101,7,1460,07-08,8016079.48938981,13393.9161182399,1037,669,163,108,63.48,35.08
102,7,1881,07-09,1669045.2780692,6005.11515566709,1264,930,94,117,66.37,31.86
103,7,1959,07-10,8325997.1002064,12548.211414611002,1233,530,493,59,74.07,24.77
104,7,2701,07-11,7682206.30412106,14406.2687611089,1576,561,739,62,75.77,21.38
105,7,2167,07-12,8145660.23735426,17101.1917959616,1122,429,463,75,79.85,18.92
106,7,5,07-13,62964.63841003,1111.28874220394,3,2,1,0,100,0
107,7,1254,07-14,516302.43476620497,3055.1194388857302,740,294,325,39,,
108,8,1596,08-01,21766048.2054922,20581.8883872952,1446,1149,46,138,35.19,62.52
109,8,3210,08-02,3334697.96919411,9356.05300472891,2086,1048,634,151,64.73,33.67
110,8,2089,08-03,4856485.62474205,13084.459418511,1592,826,492,107,68.3,29.85
111,8,2648,08-04,2809976.7384771,8825.04629245306,1637,521,839,70,79.12,19.16
112,8,3850,08-05,8342357.07138992,19951.8988521325,3052,1443,1007,221,69.11,29.08
113,8,2660,08-06,5467807.29411438,10310.5876772079,2077,1292,396,183,52.45,45.15
114,8,973,08-07,19659293.7996548,24822.55790385809,1272,865,179,125,50.77,48.08
