geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100050519001031,9,0,9,4,0.4444
100050519001030,2,0,2,2,1.0
100050519001029,7,0,5,2,0.2857
100050519001028,13,0,13,11,0.8462
100050519001027,16,2,14,8,0.6666999999999998
100050519001026,13,1,11,10,0.7691999999999999
100050519001025,50,3,46,30,0.6522
100050519001024,1,0,1,1,1.0
100050519001023,18,4,11,12,0.6666999999999998
100050519001022,30,6,21,19,0.6552000000000001
100050519001021,21,0,20,12,0.6666999999999998
100050519001020,57,9,44,29,0.6041999999999998
100050519001019,13,3,10,4,0.3076999999999999
100050519001018,12,0,12,9,0.75
100050519001017,26,2,20,14,0.5599999999999999
100050519001016,7,0,7,1,0.3332999999999999
100050519001015,15,4,9,5,0.4166999999999999
100050519001014,0,0,0,0,
100050519001013,2,0,2,2,1.0
100050519001012,3,0,3,1,0.3332999999999999
100050519001011,20,5,15,10,0.5555999999999999
100050519001010,11,3,8,8,0.8
100050519001009,26,9,15,11,0.4230999999999999
100050519001008,45,2,40,22,0.55
100050519001007,2,0,2,1,0.5
100050519001006,20,0,19,11,0.5788999999999999
100050519001005,67,2,56,35,0.5645
100050519001004,39,1,32,19,0.5587999999999999
100050519001003,13,0,11,10,0.7691999999999999
100050519001002,9,0,7,3,0.3332999999999999
100050519001001,16,3,8,12,0.75
100050519001000,45,1,40,30,0.6977000000000001
100050518023035,46,17,26,26,0.6047
100050518023034,0,0,0,0,
100050518023033,14,2,11,11,0.7857
100050518023032,13,0,13,8,0.7272999999999998
100050518023031,8,0,8,4,0.5
100050518023030,19,1,16,14,0.8234999999999999
100050518023029,33,6,25,24,0.7742
100050518023028,59,7,47,44,0.7857
100050518023027,0,0,0,0,
100050518023026,62,11,45,46,0.807
100050518023025,14,0,11,8,0.6666999999999998
100050518023024,10,5,5,6,0.5999999999999999
100050518023023,3,1,0,1,0.3332999999999999
100050518023022,5,2,2,0,0.0
100050518023021,12,2,6,5,0.4545
100050518023020,8,3,2,4,0.5714
100050518023019,21,11,3,12,0.5999999999999999
100050518023018,64,30,32,33,0.541
100050518023017,1,0,1,0,0.0
100050518023016,8,1,5,3,0.5
100050518023015,21,4,14,6,0.3158
100050518023014,3,0,3,2,0.6666999999999998
100050518023013,31,11,15,23,0.8214
100050518023012,20,14,2,6,0.4
100050518023011,21,13,8,7,0.3332999999999999
100050518023010,36,21,12,13,0.4063
100050518023009,2,2,0,2,1.0
100050518023008,18,9,6,8,0.5333
100050518023007,202,113,70,90,0.4890999999999999
100050518023006,6,4,1,3,0.5
100050518023005,31,26,5,17,0.5666999999999999
100050518023004,39,25,9,15,0.4545
100050518023003,0,0,0,0,
100050518023002,8,4,2,5,0.625
100050518023001,9,2,4,4,0.4444
100050518023000,9,2,5,2,0.25
100050518022028,15,7,8,11,0.7333
100050518022027,44,4,38,26,0.6341
100050518022026,0,0,0,0,
100050518022025,4,0,4,2,0.6666999999999998
100050518022024,36,8,23,17,0.5151999999999999
100050518022023,0,0,0,0,
100050518022022,24,4,18,10,0.4545
100050518022021,7,1,6,5,0.7142999999999999
100050518022020,27,6,21,20,0.8696000000000002
100050518022019,6,1,5,6,1.0
100050518022018,14,2,9,8,0.7272999999999998
100050518022017,29,2,26,22,0.8147999999999999
100050518022016,0,0,0,0,
100050518022015,12,10,2,4,0.4444
100050518022014,1,0,0,0,0.0
100050518022013,37,10,19,12,0.375
100050518022012,20,6,9,9,0.5625
100050518022011,100,47,43,56,0.5957000000000001
100050518022010,15,5,8,9,0.6428999999999999
100050518022009,0,0,0,0,
100050518022008,0,0,0,0,
100050518022007,24,6,15,15,0.6522
100050518022006,28,4,19,17,0.6537999999999999
100050518022005,108,37,54,46,0.5111
100050518022004,5,1,2,1,0.2
100050518022003,25,7,14,13,0.5652
100050518022002,5,4,1,2,0.4
100050518022001,17,9,0,10,0.5882
100050518022000,28,18,6,13,0.5652
100050518021075,0,0,0,0,
100050518021074,5,2,3,3,0.75
100050518021073,54,9,40,25,0.5101999999999999
100050518021072,26,6,16,15,0.5999999999999999
100050518021071,48,15,26,25,0.5319
100050518021070,31,4,26,10,0.3846
100050518021069,0,0,0,0,
100050518021068,0,0,0,0,
100050518021067,7,2,3,4,0.5714
100050518021066,14,0,14,11,0.7857
100050518021065,12,2,7,7,0.6363999999999999
100050518021064,32,9,19,15,0.5172000000000001
100050518021063,29,12,13,11,0.4583
100050518021062,2,0,2,1,0.5
100050518021061,28,7,18,18,0.7199999999999999
100050518021060,20,6,13,13,0.6842
100050518021059,12,5,3,4,0.3636
100050518021058,16,3,9,12,0.75
100050518021057,39,14,19,18,0.5293999999999999
100050518021056,30,7,18,10,0.3846
100050518021055,13,2,10,8,0.6154
100050518021054,19,1,13,11,0.6110999999999999
100050518021053,168,62,84,70,0.4375
100050518021052,77,7,56,34,0.5484
100050518021051,19,4,12,7,0.5
100050518021050,27,3,24,15,0.5999999999999999
100050518021049,16,8,7,8,0.5
100050518021048,11,5,1,1,0.1429
100050518021047,2,0,2,1,0.5
100050518021046,0,0,0,0,
100050518021045,0,0,0,0,
100050518021044,16,1,15,11,0.7857
100050518021043,10,4,2,7,0.7778
100050518021042,32,9,19,20,0.6666999999999998
100050518021041,14,2,9,7,0.5833
100050518021040,15,0,13,12,0.8
100050518021039,4,2,2,3,0.75
100050518021038,7,1,5,5,0.7142999999999999
100050518021037,9,2,1,5,0.7142999999999999
100050518021036,2,0,2,1,1.0
100050518021035,39,6,31,27,0.7297
100050518021034,31,3,20,25,0.8621
100050518021033,32,9,18,11,0.3928999999999999
100050518021032,0,0,0,0,
100050518021031,3,0,3,2,1.0
100050518021030,4,2,0,3,0.75
100050518021029,0,0,0,0,
100050518021028,9,1,6,6,0.8571000000000002
100050518021027,16,8,7,10,0.7691999999999999
100050518021026,9,4,4,5,0.5555999999999999
100050518021025,0,0,0,0,
100050518021024,0,0,0,0,
100050518021023,12,5,7,7,0.5833
100050518021022,4,0,3,3,0.75
100050518021021,10,2,5,4,0.5
100050518021020,12,0,6,10,0.8333
100050518021019,26,7,13,17,0.6537999999999999
100050518021018,0,0,0,0,
100050518021017,3,0,3,1,0.3332999999999999
100050518021016,0,0,0,0,
100050518021015,29,8,19,16,0.7619
100050518021014,41,10,29,26,0.7222
100050518021013,36,8,25,27,0.8709999999999998
100050518021012,14,3,11,8,0.6154
100050518021011,26,4,20,19,0.8635999999999999
100050518021010,22,7,10,14,0.7367999999999999
100050518021009,20,6,10,14,0.7778
100050518021008,42,5,32,34,0.8718
100050518021007,45,7,30,29,0.7249999999999999
100050518021006,8,3,5,3,0.375
100050518021005,2,0,2,2,1.0
100050518021004,0,0,0,0,
100050518021003,0,0,0,0,
100050518021002,22,4,12,12,0.5714
100050518021001,4,0,4,3,0.75
100050518021000,0,0,0,0,
100050518014041,4,0,4,1,0.5
100050518014040,12,0,12,8,0.8
100050518014039,5,0,5,4,0.8
100050518014038,23,1,20,11,0.5237999999999999
100050518014037,5,0,5,2,0.6666999999999998
100050518014036,23,2,19,12,0.5454999999999999
100050518014035,6,0,6,0,0.0
100050518014034,58,3,52,30,0.5555999999999999
100050518014033,30,0,24,25,0.8333
