OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK
127,9,431,09-09,144668744.087225,74948.5118498393,298,215,50,29
128,9,2278,09-10,11391734.2065375,22532.2378484873,1902,946,609,179
129,9,2853,09-11,29847867.8930599,27773.434066396,2079,1541,208,150
130,9,2608,09-12,17800420.3305603,26892.7616002221,2467,1561,392,263
131,9,4364,09-13,9310620.68494961,12220.132398700602,2913,1469,721,236
132,10,1920,10-01,2644110.51035574,7022.48838508345,1556,1056,42,166
133,10,1654,10-02,2911968.65934783,8075.45685080265,1371,1060,23,191
134,10,1692,10-03,2215380.17916961,6267.6847078911405,1416,1043,30,183
135,10,2055,10-04,2149985.04422889,6403.551684147151,1371,833,291,139
136,10,1889,10-05,2935633.43842771,8523.23069684633,1556,1188,13,198
137,10,1968,10-06,2600944.87183461,7375.096055073691,1754,1324,42,194
138,10,1653,10-07,1705685.74111142,8663.353565013162,1316,959,22,194
139,10,2047,10-08,10610587.1438146,19146.3823003052,1185,870,31,143
140,10,1812,10-09,2129454.07754105,6175.72166320928,1366,877,152,126
141,10,2244,10-10,2549511.23668082,6648.95546903473,1790,1379,50,194
142,10,1985,10-11,2437731.33631612,7004.580752921,1680,1218,99,191
143,10,2261,10-12,3272915.18261936,9873.76294801939,1441,907,263,108
144,11,2454,11-01,28817718.9251746,36083.3250260068,1473,765,386,143
145,11,4015,11-02,52643313.6719277,41606.601932833,3059,1827,756,212
146,11,2317,11-03,124115620.565121,47402.9654344546,1883,1633,26,157
147,11,2852,11-04,86666739.3664509,47640.8543984766,2234,1676,274,182
148,11,2977,11-05,89961205.1397322,41403.7846070614,2348,1966,73,187
149,11,2712,11-06,86182178.2030159,50514.121944338505,1953,1668,44,147
150,11,927,11-07,23365875.9339658,23032.1261297356,619,521,26,45
151,11,1514,11-08,32764093.2895446,33985.1109743176,980,819,32,82
152,11,847,11-09,15155006.9358411,23241.7597594073,548,457,7,47
153,11,1143,11-10,23099650.3089384,23893.5797713237,669,507,57,64
154,11,1096,11-11,18915518.8963054,16966.0966120784,528,405,65,38
155,11,501,11-12,24891434.2857761,20625.6180792013,340,280,20,15
156,11,958,11-13,23327561.983824,24734.278939412,722,612,31,43
157,11,548,11-14,6753049.81942362,12492.6876805221,429,318,64,32
158,12,2255,12-01,1652878.69742267,5781.22234440857,1696,1329,26,182
159,12,1610,12-02,1516935.03707612,7061.302918967161,1365,1099,11,139
160,12,1628,12-03,1851671.40389714,5808.579912237571,1280,1000,16,141
161,12,2447,12-04,19802509.7436374,23489.878030908,2340,1751,13,243
162,12,2083,12-05,7160224.42996113,11888.7669334783,1803,1458,8,194
163,12,963,12-06,26404364.3192431,24616.23477955189,769,633,2,82
164,12,623,12-07,683101.51579564,4298.005267190861,448,377,1,36
165,12,174,12-08,222135.24768608,1940.6293630203104,262,207,8,24
166,12,2566,12-09,4793016.62435474,12111.9757042186,1657,1297,21,195
167,12,1711,12-10,19359009.9915831,22883.5453668828,1447,1134,15,158
168,12,1635,12-11,29469883.4858637,24521.0457315879,1545,1169,13,181
169,12,227,12-12,241497.45482274,1986.75332208088,218,182,0,27
170,12,825,12-13,5082055.9486561,9721.37765385017,643,516,3,47
171,12,1393,12-14,20385283.7527831,24568.696260991,1244,970,6,149
172,12,960,12-15,8603642.24351928,18492.8928383474,819,664,2,98
173,12,1828,12-16,1320948.3028161,5422.63138250306,1539,1256,26,165
174,12,2205,12-17,2413336.924261,6732.96153573267,1977,1601,24,224
175,13,2397,13-01,2324498.98997635,8311.54603540121,1641,1080,128,100
176,13,1857,13-02,1456256.66254656,5144.366635262771,1214,864,48,102
177,13,834,13-03,308821.08745298,2650.2940172275303,515,116,142,13
178,13,2489,13-04,3112798.9450707,7458.458103546131,1828,1311,81,156
179,13,2634,13-05,1376073.75484764,5680.29763306334,1635,1054,187,110
180,13,2417,13-06,1922220.91980244,8742.17476663315,1818,1289,153,145
181,13,1294,13-07,689809.769098755,3889.0059285203,915,635,98,61
182,13,3055,13-08,2005545.86687969,5974.410329205451,1912,1094,235,112
183,13,2329,13-09,1605172.60750945,6267.18107987684,1499,855,280,110
184,13,1147,13-10,1789432.5189435,6221.422118227871,779,518,58,57
185,13,2343,13-11,1770012.41332101,7908.8753738904,1480,814,288,81
186,13,39,13-12,59655.8086873,1129.8175042745702,10,0,0,0
187,13,998,13-13,1228529.86832136,5024.04030270434,472,214,108,30
188,13,1038,13-14,5010873.73984201,9665.9371726907,761,598,19,79
189,13,173,13-15,48816.18809055,1002.26391028648,126,46,48,3
190,14,1933,14-01,8300546.60687617,17791.6080834966,1823,1470,18,213
191,14,2577,14-02,8809043.75323773,17481.5294848857,2307,1835,39,253
192,14,3132,14-03,13865114.0811963,16800.142668707398,2627,2126,42,291
193,14,3102,14-04,24256522.1032396,33428.4601500173,2801,2303,17,300
194,14,2155,14-05,6381302.97288549,17392.0675394752,1908,1567,10,217
195,14,2160,14-06,8998956.81013456,14099.9427345682,1900,1585,18,193
196,14,1171,14-07,6309769.93414438,13829.2938315214,1175,960,3,159
197,14,3040,14-08,9758621.52262802,23168.7376111358,2437,1989,17,281
198,14,1480,14-09,14143731.5556077,15867.3348254237,2491,2015,17,294
199,14,1439,14-10,47502468.0156832,39518.9925379302,1275,1059,11,150
200,14,855,14-11,265285193.008142,101443.244523052,707,590,6,69
201,15,1388,15-01,21436972.5153144,29816.3905362944,1073,698,167,81
202,15,1569,15-02,3544880.98267218,8979.52685140055,1287,610,453,81
203,15,3298,15-03,18389998.6093197,19681.2971801077,2556,1018,952,167
204,15,1483,15-04,2855543.91501661,7635.18005134114,1223,646,342,92
205,15,1242,15-05,8220224.7791746,15234.1032085618,1012,579,243,74
206,15,2279,15-06,3407141.52050949,7544.238275729721,1779,695,692,128
207,15,2237,15-07,11218986.2012412,13560.000118889,1767,793,575,129
208,15,1734,15-08,1418450.43749045,5440.43063081006,1070,639,187,84
209,15,1899,15-09,5557846.45778666,9486.42507387503,1666,1091,332,108
210,15,3727,15-10,3071855.73236358,8371.758131287612,2503,888,1161,119
211,15,3674,15-11,6144107.47206347,13235.588999193,2284,748,1118,134
212,16,2626,16-01,3659509.56192026,9939.644464303392,1973,887,613,104
213,16,2761,16-02,11258687.1111251,20730.6669812922,2013,376,1291,53
214,16,1953,16-03,1998170.5587612,7496.78465576507,1508,80,1242,13
215,16,892,16-04,1760486.26466334,6365.74478776348,615,178,277,33
216,16,2384,16-05,1823782.36579723,7092.74128746333,1860,225,1248,31
217,16,2113,16-06,17225461.600176,24534.6215677366,1377,237,946,57
218,16,1588,16-07,2988958.76329999,11341.084396078,1386,578,621,76
219,16,3315,16-08,2755693.22497339,9898.95607864791,2229,589,1274,101
220,16,1811,16-09,1283648.84059966,5241.87040274116,1208,713,260,66
221,16,165,16-10,789324.0403731951,4097.245242894531,136,57,67,5
222,16,2238,16-11,30321345.2515544,23599.3364238825,1428,629,261,72
223,16,1168,16-12,1207968.82889742,5825.02063051221,938,633,141,105
224,16,1155,16-13,11680656.2841413,17475.4160367316,524,238,157,30
225,17,1956,17-01,82579775.0236859,47608.9798743894,1479,1108,153,118
226,17,3436,17-02,35847019.0175811,28665.336665800503,2676,440,1730,85
227,17,2545,17-03,3368193.45679781,8073.21585403117,2002,560,1123,102
228,17,1192,17-04,24990833.3299948,24170.8637552818,733,444,205,44
229,17,1870,17-05,1964584.35763796,7397.7825334769905,1356,762,301,91
230,17,374,17-06,13730678.5889238,18065.2362797497,224,181,14,13
231,17,2220,17-07,3102683.38101841,8641.96677255697,1541,662,340,78
232,17,1555,17-08,3257679.52849058,8260.51894885524,1121,330,569,60
233,17,1559,17-09,1381364.53043212,5720.21352230604,1208,651,282,93
234,17,2379,17-10,1508637.43306269,5857.67842411613,1530,663,456,88
235,17,3354,17-11,16654886.9882113,18471.8355397834,1967,830,693,121
236,17,1829,17-12,2528967.82629164,10782.2173420895,1606,831,451,102
237,17,424,17-13,47412.47835924,1248.0113231418402,132,38,63,5
238,17,6,17-14,2133847.43402984,6867.46213316479,6,3,2,1
239,18,3791,18-01,3163309.57786134,9196.68431933918,2398,1154,671,204
240,18,3804,18-02,15827229.1187108,19970.518271546003,1743,992,339,146
241,18,1630,18-03,1505219.13637459,6725.61103649217,1053,384,428,69
242,18,2435,18-04,3802124.80171728,9527.16100258528,1798,718,761,83
243,18,2890,18-05,3260293.46963131,8334.824229300471,2107,1498,115,190
244,18,3490,18-06,2171138.30523002,7704.535009011821,2350,718,1229,87
245,18,2017,18-07,1254631.60398907,5142.16805690048,1218,660,319,72
246,18,3367,18-08,3112768.97096044,8748.011673258501,2294,850,1023,109
247,18,1081,18-09,2864835.3664835,9633.888205579162,890,407,299,48
248,19,1912,19-01,2301611.20155538,6812.71135797892,1496,1071,143,124
249,19,1969,19-02,2280108.05583717,8639.01945153756,1338,953,100,107
250,19,2504,19-03,4269426.00906354,10046.4935543347,2089,1654,34,193
251,19,2662,19-04,2775412.70586053,7383.948529177021,1806,1249,89,138
252,19,1724,19-05,5604916.32786785,10976.9394390823,908,657,22,56
253,19,836,19-06,2547194.95746736,7462.1032020681,441,279,64,35
254,19,1499,19-07,1487353.49555332,6097.5755804727,1086,784,27,107
255,19,2394,19-08,2282073.35112383,7628.7385672521,1678,1287,49,137
256,19,2250,19-09,2667413.57526644,6742.68268929233,1532,1128,80,144
257,19,1373,19-10,1472842.21411779,5007.52213282937,1032,775,16,94
258,19,1764,19-11,1223855.68901954,4988.498504815911,897,553,77,73
259,19,2140,19-12,4842072.2107283,11724.6192071001,1491,915,185,92
260,19,2103,19-13,5385310.01446802,9910.43189803199,1662,1200,31,122
261,20,2239,20-01,13170178.2345231,23887.5081408375,1728,1366,93,147
262,20,2089,20-02,31371763.6505413,22980.62445091849,1859,1540,31,192
263,20,2268,20-03,40094770.0153651,31567.340915913,2266,1803,33,271
264,20,1245,20-04,2564414.74318848,7728.884421943291,1055,829,4,164
265,20,2616,20-05,12947977.2740013,18631.616390786,2316,1796,23,294
266,20,789,20-06,94272015.9761947,65131.416606782106,733,594,6,95
267,20,2071,20-07,4785211.34877743,9256.80876998879,1818,1547,14,183
268,20,2941,20-08,8083318.82021065,17617.5519328972,2357,1930,31,237
269,20,2925,20-09,39589110.4071153,33759.6233082666,2251,1818,58,246
270,20,1006,20-10,24765597.6551826,23926.600978995502,1064,877,30,105
271,20,571,20-11,9218972.1218886,14124.3476455668,568,433,40,68
272,20,1584,20-12,4344162.63962081,9543.19224245609,1397,1180,3,138
531,20,734,20-13,69267672.1259313,53873.4570435892,786,657,6,85
273,21,1342,21-01,1805817.72488292,7420.811035476011,855,625,14,90
274,21,1812,21-02,2896916.22332067,10187.7063195692,1464,1126,35,130
275,21,1833,21-03,4107576.44984802,10812.0052358776,1436,1117,51,98
276,21,2457,21-04,1900586.61939959,5633.05662505709,1576,1103,165,117
277,21,2323,21-05,4482717.34808546,9055.532046241182,1958,1546,40,202
278,21,3067,21-06,2611647.32394831,8046.114126361001,1941,1389,67,208
279,21,154,21-07,3070784.96639951,8958.08109744777,144,114,0,11
280,21,1645,21-08,1667523.17055706,5695.375885889161,1236,980,60,91
281,21,1142,21-09,1559904.88567158,6162.914989704341,895,641,30,77
282,21,1800,21-10,4194714.90894968,9623.02869546316,1488,1167,20,170
283,21,2921,21-11,8314410.38841481,15690.1897974036,2131,1579,157,176
284,21,987,21-12,1307603.56721924,5173.10971069459,849,595,43,97
285,21,1891,21-13,2146688.67699913,8300.927341106211,1353,1037,26,120
286,21,525,21-14,799030.025840055,4264.65954811377,436,351,5,42
287,21,151,21-15,60780.367933255,1118.50387943119,38,10,6,3
288,22,2128,22-01,5688331.31961246,9677.62028775793,1656,1256,10,183
289,22,1738,22-02,4530432.86608895,9157.33602114228,1407,934,9,134
290,22,1948,22-03,5769077.7130211,10327.7700069918,1593,1116,9,172
291,22,1928,22-04,5256530.01477136,11383.9537675435,1615,1255,8,167
292,22,2679,22-05,7627443.41923112,14545.2547743555,2380,1830,19,239
293,22,1297,22-06,2455305.16624427,7223.49162167008,1005,686,26,104
294,22,1922,22-07,3818667.66265253,8654.25579600565,1503,1223,9,139
295,22,1741,22-08,3173817.71843118,7959.94933197075,1460,848,7,133
296,22,1636,22-09,2488287.47440568,6745.86841397015,1367,1069,15,128
297,22,2741,22-10,3385129.70938956,8451.143830855739,2001,1428,31,199
298,22,1419,22-11,4854010.688128,9935.98219182368,1301,1004,10,175
299,22,2018,22-12,5552039.65551408,10690.538177268,1681,1194,11,185
300,22,1869,22-13,3952200.03279073,8816.62706169944,1641,1407,5,138
301,23,1829,23-01,1213291.53141343,5676.994423232931,518,363,27,56
302,23,2360,23-02,4076672.07151568,11547.61806558,1672,1207,154,149
303,23,1456,23-03,2525414.87177715,7144.571435129741,1245,973,33,135
304,23,2433,23-04,2696322.92580931,7060.42760802481,1932,1468,79,222
305,23,2707,23-05,2136577.68997652,9854.39841534312,1848,1188,233,152
306,23,2168,23-06,4458427.04416214,10384.8553127524,1706,1358,29,188
307,23,2263,23-07,3549240.94576195,9568.72065130604,1491,1082,45,148
308,23,2699,23-08,1615438.53345882,6546.07324100461,341,244,38,46
309,23,1879,23-09,36099732.3176515,32525.1119276128,1672,1362,16,162
310,23,1174,23-10,3356439.83770289,8341.94937095413,247,167,21,21
311,23,2008,23-11,4656388.99404265,9995.17463963091,1815,1332,23,231
312,23,894,23-12,4478913.74918469,9458.4780797642,797,591,1,77
313,24,2110,24-01,4821098.40164529,11201.970355046,1351,805,225,100
314,24,3227,24-02,4307919.22313814,10513.7810178004,2155,1139,463,143
315,24,1772,24-03,1917805.03602894,7373.2112435842,1354,746,279,100
316,24,1720,24-04,2103714.25635847,7045.73532920228,1045,385,363,80
317,24,3430,24-05,4391216.79575149,10757.5743674495,2086,1127,461,143
318,24,1129,24-06,3877698.08584541,12312.137875087,924,710,49,82
319,24,2393,24-07,1081876.07990006,6149.607715631921,1490,636,507,81
320,24,2451,24-08,2320224.4118798,6905.54063006447,1780,1087,317,116
321,24,1669,24-09,1737977.30182146,6197.02201353034,1208,757,159,76
322,24,2983,24-10,1956394.52902929,5757.8795267979,1790,1079,264,115
323,24,1279,24-11,3043898.4088594,10870.2911760141,1022,671,128,86
324,24,776,24-12,2165218.84882096,12071.5655092556,314,165,67,42
325,25,7805,25-01,8198968.96115709,14443.1149306801,927,614,81,111
326,25,1733,25-02,4332096.87394941,9310.12319062068,1391,1022,46,130
327,25,1529,25-03,3351893.17370158,11580.424187643,1193,922,55,106
328,25,1886,25-04,2596154.12918088,6561.50327546921,1425,907,226,104
329,25,1994,25-05,12537676.2884581,17083.7716716314,1518,856,187,133
330,25,2923,25-06,1806691.96159054,6442.75545393959,1884,1092,350,163
331,25,2510,25-07,4609671.9725038,13604.0210047043,1858,1334,137,178
332,25,904,25-08,1305052.75738638,4989.2952922678105,759,379,234,71
333,25,2134,25-09,5860486.35060083,11239.0862925486,1606,884,325,142
334,25,1520,25-10,5264456.47630085,10622.2779571665,1132,623,280,99
335,25,62,25-11,4406940.6604644,11261.1149608339,24,16,6,0
336,26,2286,26-01,8052454.97844501,18869.4422800055,2338,1124,746,164
337,26,2383,26-02,5923424.03132938,13652.3696227477,1493,441,711,74
338,26,1752,26-03,3039015.55247768,7297.91710915636,1152,527,335,83
339,26,2554,26-04,3034322.6896192,7373.82158438591,1626,548,413,112
340,26,3832,26-05,3086799.93520757,8575.39106312259,1872,798,653,136
341,26,2180,26-06,1888690.82816397,7037.55965179219,1665,794,492,121
342,26,2640,26-07,2749649.20652113,8178.019523435831,2018,905,713,127
343,26,252,26-08,714965.06640663,4583.25930936104,228,130,57,9
344,26,5046,26-09,3430945.1671505,8420.52526659975,2555,642,1240,85
345,27,3395,27-01,7207549.12273681,11007.9161845746,2433,1362,355,214
346,27,347,27-02,5830991.16784101,11114.8539822002,278,166,72,7
347,27,1744,27-03,3788627.58518403,9352.166802132551,1381,689,412,83
348,27,707,27-04,2780594.82472864,8118.93323965622,348,142,82,30
349,27,2338,27-05,5421089.95683541,10043.158668888,1839,1069,484,119
350,27,2077,27-06,1099954.04669563,4433.25108304056,1391,547,591,76
351,27,808,27-07,3159549.71058292,7930.219567166941,622,400,107,60
352,27,2477,27-08,7531019.57140052,11487.3778533135,2040,1122,425,181
353,27,366,27-09,18588873.3320046,17665.7312962547,272,170,61,20
354,27,2264,27-10,7538742.74110893,12168.1657658016,1625,1071,181,158
355,27,412,27-11,7469668.2937205,14739.338191216,271,207,15,31
356,27,2295,27-12,7613080.98708329,11158.610800935,1819,1127,328,141
357,27,2409,27-13,25936619.6583227,22311.9625295175,2060,1570,72,236
358,27,1511,27-14,8829576.87882872,14924.7588779053,1305,919,143,108
359,27,860,27-15,10913101.2806397,13607.9291819639,777,595,40,76
360,27,944,27-16,7104679.93585042,14097.3934693886,651,407,71,57
361,28,1851,28-01,21489119.4528913,25566.6818773123,178,135,23,13
362,28,2507,28-02,6264655.18292647,13639.8697748775,1758,1028,459,139
363,28,2171,28-03,2379322.99483879,6459.726922391541,1436,738,466,111
364,28,2445,28-04,5747886.6242846,15022.806886060602,1503,670,635,74
365,28,2535,28-05,3756104.06230459,9569.44813102905,1919,1162,454,146
366,28,2906,28-06,7365667.90588462,12257.8615653552,2005,1064,639,112
367,28,2641,28-07,3118181.17951461,7864.646531308781,1932,840,794,140
368,28,2217,28-08,362089061.003307,103882.847545432,1785,1106,387,176
369,28,764,28-09,12152907.1159095,18643.0551673572,532,186,276,12
370,28,603,28-10,119015259.737778,80925.0894417414,593,372,117,59
371,28,1599,28-11,8434797.61677687,16190.3321795521,1069,381,490,56
372,28,1192,28-12,14309769.0439085,22273.2589601707,832,429,267,54
373,28,1583,28-13,1557660.08146,5587.485061537971,1161,364,610,52
374,28,689,28-14,210051035.472556,77334.0218312979,427,280,87,20
375,29,2964,29-01,9804007.96716207,13412.3276975412,2210,1026,846,160
376,29,2380,29-02,7218685.22403592,14003.2512815947,1965,860,787,135
377,29,3169,29-03,7533138.52528303,10842.0045409928,2732,1316,982,186
378,29,2262,29-04,20030775.0034539,20121.4365192683,1984,969,724,119
379,29,2132,29-05,22662157.3632298,22846.6341470268,1637,1097,267,162
380,29,3358,29-06,7654923.95792967,13879.3059849961,2534,1109,951,174
381,29,1951,29-07,9265238.40430442,16629.221924649803,1579,835,523,90
382,29,2198,29-08,19340676.9090272,22009.649524047098,1819,1155,373,152
383,29,238,29-09,2412508.57042911,7034.56309974368,167,97,34,11
384,29,498,29-10,5351652.9378162,10707.5037460229,419,314,54,37
385,29,371,29-11,6433635.78330889,14083.061131356,319,158,98,27
386,29,1780,29-12,19203460.4433794,22506.7368359475,1382,870,217,123
387,30,2486,30-01,90092677.1468244,54017.34390700141,1561,1326,33,143
388,30,1683,30-02,92582123.7462773,53006.5788904214,1215,1006,49,101
389,30,555,30-03,6515959.81277229,11299.127212795,455,323,48,26
390,30,689,30-04,14078148.3544596,25180.7248415132,537,406,59,35
391,30,2381,30-05,62337321.2497321,46414.9067273612,1849,1413,200,112
392,30,177,30-06,522079.16429433,3144.7674628979203,111,73,24,5
393,30,929,30-07,1834897.68612831,6345.333405754651,814,559,148,45
394,30,1780,30-08,12728336.6677554,15459.5768167613,1378,929,234,110
395,30,2331,30-09,186094385.161236,60089.5266918513,1745,1492,31,167
396,30,991,30-10,47940538.8772853,30332.5588627207,769,602,89,40
397,30,802,30-11,86192504.929983,41631.48552800711,579,516,4,41
398,30,2975,30-12,20434785.0841464,18864.0787899192,2058,1420,329,153
