OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Biden Percentage,Trump Percentage,Hawkins Percentage,Jorgensen Percentage
274,21,1812,21-02,2896916.22332067,10187.7063195692,1464,1126,35,130,56.2,42.06,0.52,1.22
275,21,1833,21-03,4107576.44984802,10812.0052358776,1436,1117,51,98,56.66,41.38,0.61,1.36
276,21,2457,21-04,1900586.61939959,5633.05662505709,1576,1103,165,117,71,27.38,0.16,1.45
277,21,2323,21-05,4482717.34808546,9055.532046241182,1958,1546,40,202,57.25,40.53,0.52,1.69
278,21,3067,21-06,2611647.32394831,8046.114126361001,1941,1389,67,208,66.13,32.13,0.77,0.98
279,21,154,21-07,3070784.96639951,8958.08109744777,144,114,0,11,37.99,56.98,0.56,4.47
280,21,1645,21-08,1667523.17055706,5695.375885889161,1236,980,60,91,63.37,34.95,0.45,1.23
281,21,1142,21-09,1559904.88567158,6162.914989704341,895,641,30,77,62.39,36.18,0.28,1.14
282,21,1800,21-10,4194714.90894968,9623.02869546316,1488,1167,20,170,58.37,39.89,0.62,1.12
283,21,2921,21-11,8314410.38841481,15690.1897974036,2131,1579,157,176,58.49,39.27,0.64,1.6
284,21,987,21-12,1307603.56721924,5173.10971069459,849,595,43,97,,,,
285,21,1891,21-13,2146688.67699913,8300.927341106211,1353,1037,26,120,,,,
286,21,525,21-14,799030.025840055,4264.65954811377,436,351,5,42,,,,
287,21,151,21-15,60780.367933255,1118.50387943119,38,10,6,3,,,,
288,22,2128,22-01,5688331.31961246,9677.62028775793,1656,1256,10,183,60.76,37.79,0.51,0.94
289,22,1738,22-02,4530432.86608895,9157.33602114228,1407,934,9,134,60.74,37.22,0.71,1.33
290,22,1948,22-03,5769077.7130211,10327.7700069918,1593,1116,9,172,60.78,37.96,0.4,0.87
291,22,1928,22-04,5256530.01477136,11383.9537675435,1615,1255,8,167,57.53,40.6,0.24,1.63
292,22,2679,22-05,7627443.41923112,14545.2547743555,2380,1830,19,239,55.55,43.3,0.22,0.93
293,22,1297,22-06,2455305.16624427,7223.49162167008,1005,686,26,104,57.56,40.68,0.32,1.45
294,22,1922,22-07,3818667.66265253,8654.25579600565,1503,1223,9,139,65.17,33,0.57,1.25
295,22,1741,22-08,3173817.71843118,7959.94933197075,1460,848,7,133,58.06,39.46,0.97,1.51
296,22,1636,22-09,2488287.47440568,6745.86841397015,1367,1069,15,128,54.75,43.39,0.2,1.67
297,22,2741,22-10,3385129.70938956,8451.143830855739,2001,1428,31,199,60.62,38.34,0.26,0.78
298,22,1419,22-11,4854010.688128,9935.98219182368,1301,1004,10,175,62.04,36.35,0.56,1.05
299,22,2018,22-12,5552039.65551408,10690.538177268,1681,1194,11,185,53.1,44.67,0.81,1.42
300,22,1869,22-13,3952200.03279073,8816.62706169944,1641,1407,5,138,,,,
301,23,1829,23-01,1213291.53141343,5676.994423232931,518,363,27,56,73.95,23.72,0.93,1.4
302,23,2360,23-02,4076672.07151568,11547.61806558,1672,1207,154,149,67.37,30.38,0.38,1.88
303,23,1456,23-03,2525414.87177715,7144.571435129741,1245,973,33,135,67.5,30.48,1.06,0.96
304,23,2433,23-04,2696322.92580931,7060.42760802481,1932,1468,79,222,71.68,26.36,0.72,1.24
305,23,2707,23-05,2136577.68997652,9854.39841534312,1848,1188,233,152,75.8,21.76,0.49,1.95
306,23,2168,23-06,4458427.04416214,10384.8553127524,1706,1358,29,188,62.25,36.27,0.42,1.06
307,23,2263,23-07,3549240.94576195,9568.72065130604,1491,1082,45,148,62.39,35.5,0.73,1.38
308,23,2699,23-08,1615438.53345882,6546.07324100461,341,244,38,46,65.4,32.7,0.27,1.63
309,23,1879,23-09,36099732.3176515,32525.1119276128,1672,1362,16,162,57.84,39.51,1.22,1.43
310,23,1174,23-10,3356439.83770289,8341.94937095413,247,167,21,21,,,,
311,23,2008,23-11,4656388.99404265,9995.17463963091,1815,1332,23,231,,,,
312,23,894,23-12,4478913.74918469,9458.4780797642,797,591,1,77,,,,
313,24,2110,24-01,4821098.40164529,11201.970355046,1351,805,225,100,61.2,36.78,0.22,1.81
314,24,3227,24-02,4307919.22313814,10513.7810178004,2155,1139,463,143,68.23,30.13,0.43,1.21
315,24,1772,24-03,1917805.03602894,7373.2112435842,1354,746,279,100,60.82,37.53,0.82,0.82
316,24,1720,24-04,2103714.25635847,7045.73532920228,1045,385,363,80,76.36,21.93,0.31,1.4
317,24,3430,24-05,4391216.79575149,10757.5743674495,2086,1127,461,143,66.64,31.25,0.68,1.43
318,24,1129,24-06,3877698.08584541,12312.137875087,924,710,49,82,59.73,37.39,0.96,1.92
319,24,2393,24-07,1081876.07990006,6149.607715631921,1490,636,507,81,76.07,22.75,0.55,0.63
320,24,2451,24-08,2320224.4118798,6905.54063006447,1780,1087,317,116,58.72,38.78,1,1.5
321,24,1669,24-09,1737977.30182146,6197.02201353034,1208,757,159,76,61.03,37.2,0.64,1.13
322,24,2983,24-10,1956394.52902929,5757.8795267979,1790,1079,264,115,67.94,30.59,0.49,0.98
323,24,1279,24-11,3043898.4088594,10870.2911760141,1022,671,128,86,,,,
324,24,776,24-12,2165218.84882096,12071.5655092556,314,165,67,42,,,,
325,25,7805,25-01,8198968.96115709,14443.1149306801,927,614,81,111,81.32,16.08,0.91,1.69
326,25,1733,25-02,4332096.87394941,9310.12319062068,1391,1022,46,130,64.21,33.86,0.53,1.4
327,25,1529,25-03,3351893.17370158,11580.424187643,1193,922,55,106,73.22,23.32,1.22,2.24
328,25,1886,25-04,2596154.12918088,6561.50327546921,1425,907,226,104,61.87,36.26,0.1,1.77
329,25,1994,25-05,12537676.2884581,17083.7716716314,1518,856,187,133,65.14,32.91,0.51,1.45
330,25,2923,25-06,1806691.96159054,6442.75545393959,1884,1092,350,163,67.39,30.2,0.56,1.85
331,25,2510,25-07,4609671.9725038,13604.0210047043,1858,1334,137,178,62.31,35.85,0.31,1.54
332,25,904,25-08,1305052.75738638,4989.2952922678105,759,379,234,71,65.57,33.22,0,1.21
333,25,2134,25-09,5860486.35060083,11239.0862925486,1606,884,325,142,,,,
334,25,1520,25-10,5264456.47630085,10622.2779571665,1132,623,280,99,,,,
335,25,62,25-11,4406940.6604644,11261.1149608339,24,16,6,0,,,,
336,26,2286,26-01,8052454.97844501,18869.4422800055,2338,1124,746,164,64.8,33.31,0.41,1.48
337,26,2383,26-02,5923424.03132938,13652.3696227477,1493,441,711,74,75.93,22.43,0.66,0.98
338,26,1752,26-03,3039015.55247768,7297.91710915636,1152,527,335,83,68.76,30.16,0.12,0.97
339,26,2554,26-04,3034322.6896192,7373.82158438591,1626,548,413,112,70.31,28.33,0.32,1.04
340,26,3832,26-05,3086799.93520757,8575.39106312259,1872,798,653,136,78.05,20.22,0.6,1.12
341,26,2180,26-06,1888690.82816397,7037.55965179219,1665,794,492,121,68.25,29.98,0.24,1.53
342,26,2640,26-07,2749649.20652113,8178.019523435831,2018,905,713,127,71.68,26.68,0.54,1.09
343,26,252,26-08,714965.06640663,4583.25930936104,228,130,57,9,68.98,30.19,0.55,0.28
344,26,5046,26-09,3430945.1671505,8420.52526659975,2555,642,1240,85,82.78,16.09,0.67,0.47
345,27,3395,27-01,7207549.12273681,11007.9161845746,2433,1362,355,214,68.15,30.52,0.16,1.17
346,27,347,27-02,5830991.16784101,11114.8539822002,278,166,72,7,66.16,31.1,0.61,2.13
347,27,1744,27-03,3788627.58518403,9352.166802132551,1381,689,412,83,73.91,24.87,0.51,0.71
348,27,707,27-04,2780594.82472864,8118.93323965622,348,142,82,30,64.98,32.93,0.47,1.62
349,27,2338,27-05,5421089.95683541,10043.158668888,1839,1069,484,119,64.49,34.3,0.57,0.64
350,27,2077,27-06,1099954.04669563,4433.25108304056,1391,547,591,76,78.18,20.15,0.1,1.57
351,27,808,27-07,3159549.71058292,7930.219567166941,622,400,107,60,49.01,48.62,0.59,1.78
352,27,2477,27-08,7531019.57140052,11487.3778533135,2040,1122,425,181,59.94,39.16,0.24,0.66
353,27,366,27-09,18588873.3320046,17665.7312962547,272,170,61,20,53.33,45.68,0.13,0.86
354,27,2264,27-10,7538742.74110893,12168.1657658016,1625,1071,181,158,60.18,38.1,0.51,1.2
355,27,412,27-11,7469668.2937205,14739.338191216,271,207,15,31,,,,
356,27,2295,27-12,7613080.98708329,11158.610800935,1819,1127,328,141,,,,
357,27,2409,27-13,25936619.6583227,22311.9625295175,2060,1570,72,236,,,,
358,27,1511,27-14,8829576.87882872,14924.7588779053,1305,919,143,108,,,,
359,27,860,27-15,10913101.2806397,13607.9291819639,777,595,40,76,,,,
360,27,944,27-16,7104679.93585042,14097.3934693886,651,407,71,57,,,,
361,28,1851,28-01,21489119.4528913,25566.6818773123,178,135,23,13,56.9,40.97,0.85,1.28
362,28,2507,28-02,6264655.18292647,13639.8697748775,1758,1028,459,139,64.1,33.37,0.55,1.98
363,28,2171,28-03,2379322.99483879,6459.726922391541,1436,738,466,111,47.87,50.41,0.22,1.49
364,28,2445,28-04,5747886.6242846,15022.806886060602,1503,670,635,74,64.5,33.56,0.34,1.6
365,28,2535,28-05,3756104.06230459,9569.44813102905,1919,1162,454,146,59.36,38.66,0.55,1.42
366,28,2906,28-06,7365667.90588462,12257.8615653552,2005,1064,639,112,67.71,30.82,1.15,0.31
367,28,2641,28-07,3118181.17951461,7864.646531308781,1932,840,794,140,48.05,51.1,0.42,0.42
368,28,2217,28-08,362089061.003307,103882.847545432,1785,1106,387,176,30.71,67.57,0.49,1.23
369,28,764,28-09,12152907.1159095,18643.0551673572,532,186,276,12,77.99,20.55,0,1.46
370,28,603,28-10,119015259.737778,80925.0894417414,593,372,117,59,75.46,22.55,0.66,1.33
371,28,1599,28-11,8434797.61677687,16190.3321795521,1069,381,490,56,38.19,60.16,0.27,1.37
372,28,1192,28-12,14309769.0439085,22273.2589601707,832,429,267,54,51.91,46.99,1.09,0
373,28,1583,28-13,1557660.08146,5587.485061537971,1161,364,610,52,70.18,29.05,0.26,0.51
374,28,689,28-14,210051035.472556,77334.0218312979,427,280,87,20,57.41,41.67,0.19,0.74
375,29,2964,29-01,9804007.96716207,13412.3276975412,2210,1026,846,160,61.2,37.25,0.32,1.23
376,29,2380,29-02,7218685.22403592,14003.2512815947,1965,860,787,135,44.52,54.77,0.35,0.35
377,29,3169,29-03,7533138.52528303,10842.0045409928,2732,1316,982,186,60.89,38.03,0.36,0.72
378,29,2262,29-04,20030775.0034539,20121.4365192683,1984,969,724,119,57.6,41.65,0.14,0.61
379,29,2132,29-05,22662157.3632298,22846.6341470268,1637,1097,267,162,54.22,44.96,0.31,0.51
380,29,3358,29-06,7654923.95792967,13879.3059849961,2534,1109,951,174,63.64,33.86,0.55,1.95
381,29,1951,29-07,9265238.40430442,16629.221924649803,1579,835,523,90,48.12,50,0.55,1.32
382,29,2198,29-08,19340676.9090272,22009.649524047098,1819,1155,373,152,41.42,56.53,0.24,1.81
383,29,238,29-09,2412508.57042911,7034.56309974368,167,97,34,11,38.7,60.19,0.35,0.76
384,29,498,29-10,5351652.9378162,10707.5037460229,419,314,54,37,26.12,71.27,0.37,2.24
385,29,371,29-11,6433635.78330889,14083.061131356,319,158,98,27,37.91,59.93,0,2.17
386,29,1780,29-12,19203460.4433794,22506.7368359475,1382,870,217,123,56.31,42.23,0.49,0.97
387,30,2486,30-01,90092677.1468244,54017.34390700141,1561,1326,33,143,27.55,69.71,0.36,2.38
388,30,1683,30-02,92582123.7462773,53006.5788904214,1215,1006,49,101,47.72,51.37,0.3,0.61
389,30,555,30-03,6515959.81277229,11299.127212795,455,323,48,26,36.02,62.35,0.49,1.14
390,30,689,30-04,14078148.3544596,25180.7248415132,537,406,59,35,46.1,52.41,0.21,1.27
391,30,2381,30-05,62337321.2497321,46414.9067273612,1849,1413,200,112,22.79,75.54,0.42,1.25
392,30,177,30-06,522079.16429433,3144.7674628979203,111,73,24,5,27.51,70.59,0.38,1.52
393,30,929,30-07,1834897.68612831,6345.333405754651,814,559,148,45,15.35,83.95,0.47,0.23
394,30,1780,30-08,12728336.6677554,15459.5768167613,1378,929,234,110,44.16,54.45,0.46,0.93
395,30,2331,30-09,186094385.161236,60089.5266918513,1745,1492,31,167,37.28,61.53,0.46,0.73
396,30,991,30-10,47940538.8772853,30332.5588627207,769,602,89,40,32.31,66.99,0.42,0.28
397,30,802,30-11,86192504.929983,41631.48552800711,579,516,4,41,24.94,74.18,0.25,0.63
398,30,2975,30-12,20434785.0841464,18864.0787899192,2058,1420,329,153,28.56,68.69,0.55,2.21
399,30,2534,30-13,51822949.8676354,38233.5235822393,1758,1287,239,120,,,,
400,30,1295,30-14,31433363.2399256,30832.2436286418,1034,789,75,80,,,,
401,30,1483,30-15,133898755.191751,51934.5109607748,1104,985,17,61,,,,
402,30,943,30-16,45421334.3458909,29376.9609712964,650,536,28,48,,,,
403,30,751,30-17,9036055.31397429,17847.051200524398,616,503,25,60,,,,
404,31,5353,31-01,10297131.6182566,16625.287833141898,1915,757,899,95,71.43,26.3,0.65,1.62
405,31,1688,31-02,4374066.09435747,8949.91428291785,1443,760,404,101,55.72,42.87,0.47,0.94
406,31,2654,31-03,2594574.74857465,7696.936551460991,1668,694,740,79,72.45,26.16,0.57,0.81
407,31,2518,31-04,3113253.36470661,7232.26170183102,2320,1087,841,146,66.99,30.98,0.58,1.45
408,31,3254,31-05,3752584.59924356,11499.1652307974,2165,624,1262,91,68.18,30.02,0.86,0.94
409,31,3134,31-06,6239468.57810241,9941.491305016729,1689,596,840,99,78.31,20.14,0.46,1.08
410,31,1635,31-07,2771104.16675815,7033.45590637563,1072,407,522,43,75.79,22.8,0.41,1
411,31,1648,31-08,1762853.76897052,6751.319802320841,1033,618,264,75,72.09,25.86,0.68,1.37
412,31,1709,31-09,2686876.86825511,10829.2251762743,1097,472,455,74,63.75,34.41,0.28,1.55
413,31,1493,31-10,17905801.8060894,22028.8608724144,1069,497,385,63,62.66,35.53,0.66,1.15
414,32,2724,32-01,2555384.8047413,7308.664938739271,1749,590,895,77,71.11,26.74,0.98,1.18
415,32,1334,32-02,2290619.27452685,7313.01293340998,1348,577,587,63,64.44,32.76,0.93,1.86
416,32,2157,32-03,1775299.99404671,6230.35022261571,1325,590,533,67,62.83,35.46,0.46,1.25
417,32,1094,32-04,2597663.5003228,7040.40051617135,784,312,343,36,65.79,31.58,2.63,0
418,32,2526,32-05,5678699.88412218,12706.8064874736,1641,899,429,117,55.86,42.07,0.63,1.44
419,32,658,32-06,296772303.644648,95914.69499011,397,286,36,34,44.64,54.51,0.43,0.43
420,32,1385,32-07,9060608.84241769,19879.6346786705,746,348,259,55,69.9,28.49,0.7,0.91
421,32,653,32-08,20729195.5038233,27416.243859235703,454,141,220,19,88.2,8.99,0.56,2.25
422,32,3567,32-09,9757772.11831389,18612.2086657689,942,453,275,54,66.99,29.79,1.45,1.77
423,32,2432,32-10,9783947.70671316,16934.4566091587,1558,865,421,78,71.87,26.59,0.66,0.88
424,32,1845,32-11,7745078.09390857,13275.063199187,1459,956,221,148,61.92,35.66,0.4,2.02
425,32,2996,32-12,3030969.1025088,7017.68424157814,1696,514,822,83,53.76,44.79,0.51,0.94
426,33,866,33-01,3277549.79768341,8991.17816096353,661,454,117,41,48.61,50.11,0.43,0.85
427,33,1960,33-02,9409487.67448505,17628.1828642032,1479,1003,223,122,48.24,49.57,0.95,1.23
428,33,2985,33-03,39244697.810284,37486.0732931902,2183,1546,304,206,44.26,54.18,0.44,1.12
429,33,2721,33-04,26179279.3357149,24331.0892130501,2126,1571,205,175,39.8,58.77,0.31,1.12
430,33,3533,33-05,48091698.0940965,43146.101661516695,2626,1737,416,188,47.45,51.02,0.57,0.96
431,33,387,33-06,10324923.6571132,15221.785696390602,327,262,27,28,27.35,69.96,0.45,2.24
432,33,1484,33-07,31758662.0558085,23497.7728168588,1279,1047,75,86,32.03,66.16,0.5,1.31
433,33,3658,33-08,20410724.0400185,25091.7960469419,2229,1073,758,121,39.47,59.69,0.12,0.72
434,33,2152,33-09,523823060.126566,104041.476192416,1620,1342,43,120,52.63,44.96,0.49,1.92
435,33,1246,33-10,30691697.9143757,29950.732351778,869,665,75,49,33.18,65.48,0.45,0.89
436,33,925,33-11,7904725.85353551,13504.235716537,701,560,40,59,,,,
437,33,1818,33-12,28375043.6118915,24184.0822567598,1282,909,153,105,,,,
438,34,2748,34-01,5802765.8691209,13574.4209207658,2132,1305,477,153,53.57,43.75,0.62,2.06
439,34,947,34-02,14820091.1702965,23197.330153391,901,629,129,75,46.07,52.57,0.27,1.08
440,34,3238,34-03,6435113.75980242,11234.4084949419,2560,1395,718,188,59.35,38.97,0.41,1.27
441,34,1006,34-04,9934216.74985081,22082.8970950273,719,556,62,66,36.98,62.02,0.5,0.5
442,34,2076,34-05,14248660.4301162,16042.9809661953,1637,1009,358,109,50.31,48.16,0.37,1.17
443,34,2467,34-06,12948225.0684405,15547.6789666542,1641,917,450,117,44.62,52.31,1.03,2.05
444,34,1483,34-07,3169019.26763843,7941.451805085151,1153,872,101,87,45.08,53.09,0.23,1.6
445,34,2763,34-08,7376127.8148271,14036.463309813002,2151,1258,442,150,52.15,46.6,0.37,0.87
446,34,2817,34-09,5208765.33056807,12988.714356944902,2165,1191,641,141,56.98,41.48,0.31,1.23
447,34,1741,34-10,13303126.7445789,15272.7055951402,1401,882,291,99,53.04,45.21,0.26,1.49
448,34,3212,34-11,7101074.92406952,11199.6304818662,2262,1306,570,159,30.77,63.46,3.85,1.92
449,35,2935,35-01,120398405.184273,47615.9952604504,2067,1632,164,138,27.11,71.31,0.31,1.27
450,35,1876,35-02,118940077.018272,51250.849379391104,1323,1056,105,88,38.88,60.1,0.53,0.49
451,35,3318,35-03,54060388.3387465,38888.530831309,1929,1223,318,117,45.1,53.38,0.64,0.88
452,35,1578,35-04,69707773.9769447,45188.0998318134,1138,685,313,46,48.88,49.97,0.29,0.86
453,35,2220,35-05,68515863.9856123,38315.6397835487,1736,1001,501,90,26.86,72.08,0.35,0.71
454,35,1707,35-06,73823325.8995195,51209.9971837618,1144,881,72,61,28.76,70.47,0,0.78
455,35,1360,35-07,81856252.4388276,46393.969748963296,1008,702,120,78,34.85,63.46,0.36,1.34
456,35,2262,35-08,110535520.173966,56490.7595999526,1754,1479,70,103,,,,
457,35,3274,35-09,19401657.8679065,24159.4080347728,2869,2063,313,256,,,,
458,35,315,35-10,23190787.3985228,24347.3467012058,201,153,8,16,,,,
459,35,385,35-11,40339675.9441718,28677.3392231026,248,204,5,21,,,,
460,35,391,35-12,23418990.8016871,29074.061855871103,283,184,60,18,,,,
461,35,1277,35-13,39256427.7079944,31459.8146480163,959,753,38,78,,,,
462,36,4102,36-01,6311471.54076266,13961.3557754027,2520,1715,305,171,48.79,49.56,0.35,1.3
463,36,2697,36-02,25239903.8761084,28030.760509967906,2216,1713,149,185,34.8,63.68,0.27,1.25
464,36,2775,36-03,6003264.43724002,12396.7766734502,2064,1588,93,197,44.9,53.97,0.28,0.85
465,36,3665,36-04,35690110.8817994,30551.9668924182,2482,1603,448,156,47.8,50.96,0.57,0.67
466,36,842,36-05,219691608.228428,77788.29432377731,724,621,14,52,31.66,67.15,0.27,0.91
467,36,3915,36-06,128695648.531342,51512.5633808002,2758,1751,566,196,45.06,53.49,0.21,1.24
468,36,790,36-07,375632629.853697,107573.354225919,785,634,7,101,51.65,46.09,0.45,1.8
469,36,1480,36-08,39177900.6064341,33278.944049602804,1146,933,25,97,32.74,65.04,0.44,1.77
470,36,363,36-09,38761727.570426,27793.0603546363,269,205,12,31,25.89,72.32,0.89,0.89
471,36,1184,36-10,54506861.5719605,51136.3374975659,961,789,38,70,36.57,62.69,0,0.75
472,36,1211,36-11,19109449.1138025,23494.522750202,836,422,280,42,42.64,55.3,0,2.07
473,37,7268,37-01,29802755.9822568,28631.8842542935,2471,1432,267,150,54.19,44.05,0.42,1.34
474,37,3736,37-02,53651776.7982907,34059.3367941026,2250,1664,205,162,34.79,63.95,0.3,0.96
475,37,1884,37-03,44535873.6863935,34866.8718983607,1493,1171,93,135,43.17,55.76,0.3,0.77
476,37,3185,37-04,56024014.1071928,46443.15107547301,2241,1762,143,164,45.64,53.55,0.42,0.39
477,37,878,37-05,28890748.2288314,25921.9414526176,630,515,27,28,45.26,53.78,0.19,0.77
478,37,2327,37-06,20688835.888255,22238.583783371003,2272,1866,31,228,40.44,58.33,0.51,0.73
479,37,1130,37-07,25221966.8465233,27450.7087289692,1260,986,69,144,38.9,60.32,0.39,0.39
480,37,366,37-08,32371733.1745354,26591.6465104258,264,233,1,17,,,,
481,37,405,37-09,6799009.10641726,12804.0985176752,381,324,4,34,,,,
482,37,1038,37-10,36568617.0529778,26467.8082436148,626,510,17,37,,,,
483,37,988,37-11,16852357.0308181,17675.197691372097,1040,833,45,128,,,,
484,37,894,37-12,30675006.0636198,24591.703834663906,640,520,19,52,,,,
485,38,1865,38-01,19498683.7704062,23407.3920965096,1717,1491,12,154,34.42,64.81,0.2,0.57
486,38,2923,38-02,32907901.0428442,41081.5230736313,2572,2100,23,322,40.85,58.15,0.33,0.67
487,38,1991,38-03,15523792.928493,25713.8000796244,2012,1684,11,231,43.42,55.62,0.38,0.59
488,38,3153,38-04,194845438.130086,72819.7222624615,2850,2349,12,359,51.8,47.52,0.18,0.5
489,38,1007,38-05,17201729.0514153,42934.083304346605,962,816,2,102,39.94,59.21,0.24,0.61
490,38,1629,38-06,5758605.63683843,13518.798558879002,1549,1267,7,187,37.03,62.16,0.28,0.52
491,38,2309,38-07,40078393.0245718,39118.7818896429,2563,2129,12,292,42.37,56.65,0.39,0.58
492,38,1377,38-08,14770203.86911,19332.8115991759,1488,1212,16,173,30.24,68.79,0.43,0.54
493,38,1975,38-09,8007752.13369776,12795.0490666943,1781,1508,5,175,,,,
494,38,2630,38-10,21476474.4071042,43854.1470568739,2359,1960,9,306,,,,
495,38,1159,38-11,4105130.25512264,11271.5096814038,1069,849,9,154,,,,
496,38,1149,38-12,7815771.95392632,31650.26631474,1078,899,2,125,,,,
497,38,929,38-13,2265073.08533921,7295.77564533273,762,634,3,98,,,,
498,38,1056,38-14,14286567.1392036,23363.097854856,1074,904,6,121,,,,
499,39,1724,39-01,72725674.6029016,40233.648455367096,1301,1063,88,79,29.36,69.07,0.52,1.05
500,39,3378,39-02,17621280.4566751,19115.4345269182,2507,1461,631,156,48.26,50.14,0.28,1.33
501,39,2635,39-03,20240259.5959715,28197.6416226132,2026,1343,367,170,38.35,60.48,0.16,1.01
502,39,3954,39-04,5426263.60233639,12470.8771183062,2235,1223,681,133,53.31,44.8,0.47,1.42
503,39,2745,39-05,77471835.6269988,46041.3681905659,2125,1713,151,144,29.19,69.09,0.47,1.25
504,39,4345,39-06,34089611.9063175,28786.855543963306,2498,1701,401,146,36.32,62,0.52,1.16
505,39,2248,39-07,37774903.0202672,28413.3209024281,1289,883,228,72,39.51,59.01,0.16,1.32
506,39,1785,39-08,10702067.6486462,15746.8626285117,985,563,287,61,,,,
507,39,808,39-09,24583559.5169461,33446.3913629663,603,462,61,31,,,,
508,40,2683,40-01,41731783.1787309,43984.86020338461,1738,1293,229,102,33.48,65.26,0.27,0.98
509,40,3590,40-02,175241490.867618,61726.65434740341,2741,2339,52,193,22.82,76.44,0.15,0.59
510,40,2954,40-03,4470626.36122096,12178.1682106492,1685,831,625,105,53.61,44.85,0.62,0.93
511,40,3066,40-04,118531507.628988,53140.0799172845,2394,1985,147,149,27.48,72.01,0.13,0.38
512,40,2142,40-05,65719089.0628679,44064.7487226478,1653,1273,182,110,31.32,67.14,0.88,0.66
513,40,3414,40-06,97230232.87817,44056.6115729989,2391,2028,89,163,24.04,74.37,0.4,1.2
514,40,3202,40-07,95028213.4739653,51342.0101628809,2335,1859,231,149,33.49,65.18,0.23,1.1
515,40,1776,40-08,54558553.1663188,31361.9470757836,1159,958,28,79,32.71,65.65,0.59,1.06
516,40,806,40-09,9846204.92939496,15171.0314118798,704,541,53,47,,,,
517,41,1456,41-01,130921088.864113,48161.1078620834,1099,990,16,54,21.21,77.69,0.52,0.57
518,41,2020,41-02,62632759.010881,45000.3720891849,1549,1243,100,134,41.12,57.95,0.29,0.64
519,41,883,41-03,112218818.459582,56867.6957026008,592,465,55,26,45.89,53.26,0.51,0.34
520,41,2101,41-04,30800707.9565558,40753.535142895,1622,1307,92,116,38.5,60.45,0.7,0.35
521,41,3398,41-05,12351730.0499204,24521.07155928,2001,1402,281,133,45.91,52.74,0.4,0.95
522,41,2863,41-06,63969050.1534005,50077.245143009,2367,2015,40,224,39.07,60.6,0.08,0.24
523,41,2532,41-07,24374244.859957,29192.8926692568,1619,1210,126,117,39.43,59.07,0.58,0.92
524,41,2817,41-08,15798495.7414875,30518.8647244982,2601,1972,119,278,39.51,59.84,0.13,0.52
525,41,1883,41-09,4769135.36682744,11434.7059870587,1295,970,161,68,,,,
526,41,1943,41-10,34204277.3667339,39770.0503610879,1179,727,218,62,,,,
527,41,1212,41-11,23673918.5380854,21826.4968335072,1278,1096,19,122,,,,
528,41,775,41-12,28248253.5062255,34642.4448768388,738,634,14,65,,,,
529,41,826,41-13,15554880.4910984,18422.8338145921,754,639,7,75,,,,
530,41,533,41-14,7710407.50280737,12318.22353631,420,352,0,48,,,,
