OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Biden Percentage,Trump Percentage,Hawkins Percentage,Jorgensen Percentage
74,5,2723,05-08,4533425.9965284,10102.2311716248,2184,811,975,84,73.05,25.7,0.17,1.08
75,5,2425,05-09,1069073.25082089,4008.82927812981,1413,251,938,42,86.19,12.82,0.11,0.88
76,5,2463,05-10,1179460.43929567,5019.53513256905,1529,288,953,50,87.76,11.02,0.51,0.71
77,5,138,05-11,195572.85737013,2364.2751613184705,129,78,30,12,,,,
78,6,1528,06-01,4909249.41716412,11442.4190304604,1234,936,57,135,65.72,32.7,0.74,0.84
79,6,2288,06-02,5335522.9883329,11302.9945937153,1711,1243,50,204,61.84,37.02,0.36,0.78
80,6,512,06-03,866278.4070939451,4699.816401492641,404,336,3,38,69.3,28.88,0.3,1.52
81,6,1297,06-04,1236167.94371168,4723.39931147227,1095,767,182,81,71.32,26.93,0.49,1.27
82,6,2427,06-05,1110934.93455411,4524.462481612451,1615,580,791,88,79.45,19.86,0.15,0.54
83,6,2529,06-06,10707931.8249251,14898.5121672924,1795,1144,321,172,80.31,18.48,0.52,0.69
84,6,1438,06-07,2600836.43474248,7377.758585167679,1173,926,37,126,64.27,33.66,0.39,1.67
85,6,1353,06-08,878846.163956095,4137.213862445171,1027,797,88,84,64.76,32.73,0.58,1.93
86,6,2134,06-09,3178380.47138892,8196.04500994884,1798,1352,75,188,68.73,29.93,0.36,0.97
87,6,2113,06-10,3384600.95199104,8904.23053043965,1652,1297,35,179,64.99,33.28,0.24,1.49
88,6,1533,06-11,3385473.31007383,7486.60895656778,1304,1074,8,125,64.67,34.22,0.28,0.83
89,6,2106,06-12,2805397.06809406,7391.48905248792,1751,1387,21,173,62.58,35.45,0.49,1.48
90,6,1298,06-13,3130448.38820123,8301.161191214142,1067,765,132,118,,,,
91,6,340,06-14,92349.808994095,1436.25344881502,223,147,38,16,,,,
92,6,158,06-15,726791.00040324,4171.0883700718605,165,121,4,26,,,,
93,6,0,06-16,6203744.77437019,11660.3573318259,0,0,0,0,,,,
94,7,1680,07-01,1387108.93712769,5822.0491484232,1289,960,76,137,59.29,38.86,0.89,0.97
95,7,2003,07-02,1469736.58592566,5091.15793862962,1438,780,361,124,64.93,33.45,0.54,1.09
96,7,955,07-03,1661587.06201604,5570.420331542391,833,642,4,125,65.53,32.84,0.24,1.39
97,7,2103,07-04,1266973.72639645,4980.02229714478,1275,568,350,96,73.54,24.96,0.57,0.93
98,7,1699,07-05,3533515.38374898,9220.49920308661,1542,1210,21,201,80.84,18.29,0.15,0.73
99,7,1030,07-06,1015565.65844306,5707.08244831886,770,583,44,73,68.79,29.91,0.59,0.71
100,7,2034,07-07,1969018.89009938,6187.12508373056,1642,919,406,139,67.73,30.71,0.57,0.98
101,7,1460,07-08,8016079.48938981,13393.9161182399,1037,669,163,108,62.65,36.18,0.44,0.73
102,7,1881,07-09,1669045.2780692,6005.11515566709,1264,930,94,117,64.59,33.97,0.36,1.08
103,7,1959,07-10,8325997.1002064,12548.211414611002,1233,530,493,59,74.58,24.65,0.21,0.57
104,7,2701,07-11,7682206.30412106,14406.2687611089,1576,561,739,62,,,,
105,7,2167,07-12,8145660.23735426,17101.1917959616,1122,429,463,75,,,,
106,7,5,07-13,62964.63841003,1111.28874220394,3,2,1,0,,,,
107,7,1254,07-14,516302.43476620497,3055.1194388857302,740,294,325,39,,,,
108,8,1596,08-01,21766048.2054922,20581.8883872952,1446,1149,46,138,39.62,59.06,0.47,0.85
109,8,3210,08-02,3334697.96919411,9356.05300472891,2086,1048,634,151,64.81,33.9,0.39,0.91
110,8,2089,08-03,4856485.62474205,13084.459418511,1592,826,492,107,67.78,30.74,0.18,1.31
111,8,2648,08-04,2809976.7384771,8825.04629245306,1637,521,839,70,79.14,19.58,0.37,0.92
112,8,3850,08-05,8342357.07138992,19951.8988521325,3052,1443,1007,221,71.5,26.79,0.52,1.19
113,8,2660,08-06,5467807.29411438,10310.5876772079,2077,1292,396,183,54.82,42.39,0.39,2.39
114,8,973,08-07,19659293.7996548,24822.55790385809,1272,865,179,125,45.59,52.43,0.38,1.6
115,8,2461,08-08,19618257.5019568,19509.921909791403,2009,999,601,185,62.98,35.95,0.34,0.73
116,8,1887,08-09,5675554.25812494,13341.4019230445,1588,1055,199,171,44.88,53.8,0,1.32
117,8,2653,08-10,4028302.17295285,10365.1452318928,1942,868,672,86,66.41,32.5,0.31,0.78
118,8,1256,08-11,28033620.8006613,32575.3829650366,938,503,254,70,,,,
119,9,2057,09-01,114159062.133049,49229.4867293236,1680,1200,222,144,44.99,53.45,0.52,1.04
120,9,2454,09-02,7470057.53369941,11522.726352674,1873,942,566,171,63.08,35.59,0.45,0.89
121,9,3057,09-03,49284311.5525455,53385.8762497731,2481,1603,452,206,54.82,44,0.43,0.75
122,9,862,09-04,7784400.2778875,17917.264936019903,796,503,172,71,51.79,46.75,0.09,1.37
